salario_anual,total_dividas,historico_pagamento (score),idade,credito_solicitado,elegibilidade
31092,33199,7.995.398.410.223.010,68,11627,1
74786,15478,1.0,64,14517,3
62054,23138,7.038.431.876.468.260,26,12369,2
47099,19569,8.069.469.919.031.200,47,10558,3
76909,14174,860.078.799.051.778,46,13728,3
49885,2952,7.758.189.503.242.040,46,15342,2
37748,28861,8.894.363.730.103.750,63,14169,3
68324,19645,8.379.409.946.949.190,36,13673,3
30785,38317,8.829.886.839.750.910,25,16129,1
43986,32167,7.610.891.641.701.660,61,17657,2
31990,32024,748.386.830.094.952,34,9279,1
38009,27334,8.471.395.463.724.520,29,13738,3
52997,27542,9.229.089.447.892.490,32,5132,3
55057,21564,1.0,22,14189,3
33467,28245,6.672.722.712.252.970,51,15752,1
77137,15520,8.302.952.652.131.620,69,17848,3
18662,4419,894.286.982.079.026,67,15770,2
51943,27077,8.865.257.925.254.740,20,17740,3
52327,27301,7.279.119.468.291.220,22,15326,2
53952,6784,77.731.205.265.985,51,11622,2
63189,25137,8.486.184.934.426.650,26,9420,3
4257,24982,1.0,41,13684,1
38389,30790,9.443.105.301.784.500,22,11168,1
52269,18943,8.850.429.279.079.040,44,14401,3
75546,4779,5.806.714.059.613.050,66,12540,1
41272,15160,7.182.560.591.185.020,37,17095,2
47113,15124,7.271.120.226.595.120,64,15244,2
60881,18827,8.858.014.236.278.280,62,17237,3
31856,21221,836.379.169.363.932,58,17211,2
50336,17626,7.864.802.804.157.310,19,14101,2
48422,23960,8.834.446.464.661.780,40,14408,3
40861,9018,6.989.287.489.087.330,51,17508,2
57545,23598,7.685.185.036.267.260,46,27229,2
82353,12410,8.434.112.053.293.770,60,10054,3
52605,17985,1.0,52,15208,3
16476,1711,9.395.644.805.645.110,47,9021,2
36933,29437,8.931.037.758.981.180,20,14895,3
72189,16938,809.926.728.417.549,27,11629,3
46406,23388,8.481.834.248.490.890,51,14400,3
32406,11788,9.716.070.287.262.270,18,15776,3
61318,14402,1.0,23,12553,3
40419,10339,8.260.039.996.133.120,23,6081,3
50525,21588,8.950.611.742.241.440,60,22127,3
33024,25752,94.140.990.291.966,33,19196,2
43729,9988,890.879.644.846.226,18,14347,3
49547,21399,7.190.632.416.320.750,22,10526,2
48488,17551,7.755.021.224.356.070,42,15425,2
55619,21941,9.240.631.788.192.310,44,16804,3
53018,11015,7.936.511.707.623.940,59,18850,2
34722,24650,1.0,55,19311,2
75287,17211,8.192.403.080.893.690,60,20253,3
47648,18615,7.166.135.918.278.190,43,6295,2
29741,43405,9.534.609.990.715.320,33,13476,1
16665,2380,8.140.016.074.916.550,69,19965,2
51127,25402,821.917.791.236.177,62,10381,3
36106,24352,9.367.911.605.848.870,61,21096,2
58592,26305,7.509.565.867.981.040,67,24051,2
50725,25857,8.582.126.427.272.110,43,20956,3
109077,21932,7.288.637.759.191.100,62,18307,2
31087,24083,8.575.933.036.040.070,54,12762,3
65865,46857,6.861.282.520.606.020,45,16408,2
33656,18276,7.659.159.982.554.330,45,8269,2
62464,18173,9.398.301.067.143.840,47,11094,3
71346,9329,9.797.245.900.094.080,30,11445,3
44834,11750,7.615.192.195.767.060,42,15309,2
39061,22235,7.604.359.975.080.530,62,13039,2
47651,23689,8.602.365.163.140.400,68,16307,3
38854,18873,7.691.618.569.101.230,36,19389,2
74159,26524,9.437.662.531.161.360,30,11451,3
20534,20469,7.801.738.210.923.780,59,22356,1
60506,31657,7.492.286.368.175.590,38,15205,2
55692,30800,754.720.558.083.525,51,24418,2
74915,26315,1.0,22,14041,3
65091,13896,9.244.374.626.994.590,48,16412,3
52652,6869,7.348.503.772.017.670,20,19456,2
30922,18211,7.947.565.756.225.720,40,23194,2
41291,30432,7.142.736.273.017.730,56,17505,2
46596,37000,7.176.001.883.398.570,61,15012,2
72380,21108,7.138.402.487.571.540,47,15139,2
62011,19018,7.457.735.564.487.090,59,9770,2
38074,22087,9.265.851.894.173.730,60,13090,3
56042,22201,9.565.690.174.891.640,47,15256,3
43118,31866,7.578.341.321.359.200,66,21909,2
40312,16316,8.086.686.438.904.400,53,12849,3
59428,18817,9.338.604.815.294.220,55,20313,3
47833,24620,8.536.600.432.554.310,24,14590,3
32536,13677,8.848.280.285.566.760,22,21217,2
62403,10806,7.981.852.195.199.450,23,18383,2
52280,34035,1.0,66,18045,3
44504,19760,1.0,31,19894,3
72387,28906,9.222.880.823.851.200,28,19165,3
65961,26902,7.899.717.577.092.630,54,20319,2
51823,6246,7.183.011.209.893.830,19,25658,2
24320,13475,1.0,48,23084,2
66657,20637,8.826.804.596.040.080,63,17332,3
42748,17594,8.618.705.590.121.270,44,12791,3
47631,22447,9.211.985.736.638,33,16832,3
45459,21855,8.527.301.862.350.540,19,5369,3
30565,27856,8.234.920.344.451.540,66,19144,1
49423,20425,8.703.938.255.126.890,27,13339,3
60452,27627,7.451.118.960.309.390,40,15845,2
55276,11104,9.150.276.613.453.420,32,15532,3
51158,28464,1.0,63,9884,3
46429,18022,774.451.099.644.943,65,21456,2
60922,22273,74.960.495.998.741,54,2532,2
49891,20604,8.547.006.559.872.900,31,13749,3
52162,21821,7.489.794.916.600.150,65,10393,2
66693,18907,8.048.769.420.802.810,31,15910,3
67542,32842,9.336.558.431.555.710,24,20083,3
54030,4948,1.0,68,7965,3
51569,25334,9.380.609.797.255.370,53,26768,2
59837,13316,7.639.717.037.393.850,35,16009,2
46225,10437,8.223.756.668.341.920,32,16908,3
46264,41382,8.150.829.959.893.860,66,7801,1
49059,10490,8.600.062.637.993.830,50,14767,3
34723,1827,938.405.675.031.565,64,19858,2
85435,29558,7.699.134.813.122.410,65,16049,2
44004,15066,1.0,39,15700,3
57014,32746,7.459.316.964.496.350,60,14740,2
49746,2513,7.669.389.841.859.230,58,8109,2
60319,38537,7.699.671.742.890.530,34,8081,2
44239,29434,1.0,43,20846,3
53252,17919,1.0,32,19411,3
37246,2673,7.684.862.194.833.600,57,20151,2
68213,6684,8.039.257.544.294.040,35,10885,3
59923,13086,8.404.677.003.001.050,25,14212,3
28754,27136,8.018.324.890.594.130,20,21159,1
50212,11380,9.400.956.235.808.790,68,8856,3
29142,501,8.990.248.667.527.150,31,20649,2
38007,22278,870.253.906.490.484,51,12067,3
63814,29962,9.319.921.821.432.330,50,10723,3
12709,41970,8.938.931.005.379.990,54,14840,1
65678,9743,9.172.894.892.844.630,66,9414,3
55681,10798,8.673.140.130.939.600,18,5515,3
48798,9939,1.0,65,15380,3
63168,4525,8.631.638.244.292.630,52,17671,3
90542,9337,8.351.524.538.446.230,27,21076,3
30061,11066,9.297.687.028.664.740,36,18034,2
75402,14662,9.068.074.029.801.920,28,24826,3
64496,25917,847.956.143.671.988,52,21805,3
39428,25114,6.861.739.368.981.100,19,18690,2
57871,14862,9.909.787.112.419.020,20,17343,3
33318,20152,9.742.408.079.074.340,32,21150,2
42610,6422,7.649.818.972.595.030,69,3934,2
18424,14345,8.915.806.294.457.610,58,12599,2
29771,7079,7.977.366.664.750.960,64,5707,2
55725,12601,9.028.334.959.144.820,45,18315,3
57053,38556,9.615.561.328.606.230,19,11286,3
56887,21453,8.369.646.449.055.010,47,30098,2
59542,14057,9.211.572.364.932.630,55,12410,3
51776,24778,7.090.806.524.832.070,22,15531,2
60175,16051,763.960.944.822.436,23,12988,2
66096,36838,9.400.992.451.601.280,22,12555,3
53696,23526,7.861.026.931.765.700,29,8767,2
43484,8393,767.305.343.781.856,21,8599,2
47819,33190,7.774.896.902.193.560,41,4102,2
37456,26192,7.421.668.574.397.010,42,17727,2
62770,24672,950.467.614.549.156,43,12876,3
25918,28264,9.578.503.685.713.080,63,24668,1
41237,35579,9.536.058.939.567.080,33,17832,1
71767,3353,7.397.235.516.996.210,62,14197,2
74426,6075,8.857.085.956.151.090,24,17023,3
47900,25799,7.916.182.076.017.580,63,16759,2
67763,21936,749.491.927.971.383,18,12454,2
40812,16707,7.314.361.367.928.540,45,13223,2
83704,5660,8.880.379.927.671.030,61,18000,3
30330,32662,7.566.437.647.816.250,20,24060,1
36288,17648,9.595.280.645.795.290,67,21034,2
69691,9795,6.977.477.651.047.020,60,9354,2
45660,23214,9.915.001.032.207.320,69,9372,3
70582,32560,6.420.514.721.362.560,56,12321,2
43007,17337,8.785.095.538.775.130,27,15494,3
59888,13506,7.324.547.254.181.080,68,15241,2
39605,20355,690.849.084.003.281,62,21201,2
48863,23828,839.995.956.983.687,31,21475,3
30792,24760,9.175.881.209.139.890,32,15028,1
49282,17540,8.304.355.295.911.010,23,13861,3
36832,32306,8.456.019.089.771.320,56,17583,1
81088,11221,8.703.694.660.590.070,62,20316,3
65770,18937,8.539.465.684.983.700,67,22798,3
52634,24995,8.866.511.830.320.410,18,14369,3
35099,28475,8.836.827.707.271.910,24,13312,1
50868,24721,711.037.361.948.878,53,9446,2
59241,15133,7.986.308.968.965.830,20,15986,2
64346,33802,8.542.337.023.401.720,36,26271,3
58462,28366,8.892.135.062.421.000,59,17067,3
62728,5904,9.173.249.229.841.700,44,16352,3
57590,27632,8.524.419.611.148.320,20,11666,3
19896,11145,9.608.045.088.660.900,51,17959,2
47595,2452,820.749.206.093.747,22,15788,3
48646,22518,9.356.845.694.177.480,66,14685,3
80590,43234,8.350.021.467.206.280,54,17473,3
61390,19469,7.582.944.233.430.950,63,5920,2
45635,17109,1.0,33,14497,3
38409,20965,8.999.198.433.575.080,31,9014,3
44839,43904,6.659.087.173.768.430,47,15144,1
37874,17319,9.403.530.253.752.240,49,11379,3
82697,29833,8.664.544.017.715.590,68,11720,3
49770,16018,9.367.031.642.880.040,62,8332,3
62372,14193,9.041.937.516.089.390,29,20578,3
57730,34122,7.736.398.088.974.710,44,11611,2
59860,8975,942.010.315.191.141,43,11878,3
36790,27466,7.837.243.672.919.720,65,22653,2
70059,16582,769.267.298.894.579,46,17839,2
48675,12428,8.165.056.983.210.400,40,4826,3
72506,15819,7.461.962.903.790.150,66,21926,2
56385,2513,9.001.110.546.833.350,39,23239,3
76309,9499,1.0,37,22771,3
59004,21340,7.396.048.847.900.880,55,18340,2
16660,34289,9.493.503.740.433.660,19,18674,1
19126,13637,9.089.693.930.834.730,23,13161,2
51277,30470,8.652.753.856.649.410,54,11770,3
53715,25360,9.389.342.883.979.980,52,28658,2
47069,27018,819.190.878.690.551,24,18651,3
31269,17069,7.605.418.373.037.300,32,14707,2
43939,41106,8.470.468.761.242.050,38,11460,1
71681,18031,1.0,55,17228,3
44558,19813,8.714.024.592.890.800,53,6335,3
42458,10216,79.955.499.278.188,40,12419,2
68553,19606,7.688.927.502.102.400,46,14814,2
46763,18254,6.978.164.352.772.000,30,16067,2
60206,30720,7.679.965.105.404.850,22,14287,2
56912,26347,8.800.407.993.087.150,64,11533,3
36616,31733,8.262.522.347.543.000,56,19603,1
35139,18922,8.722.211.507.788.980,56,6741,3
29781,16606,7.587.938.431.090.200,59,13610,2
34854,28841,9.526.631.838.990.520,62,12410,1
62404,21579,9.252.474.367.102.470,60,20059,3
37673,3603,7.937.797.878.456.660,18,12705,2
47931,15473,7.088.333.183.312.720,37,17188,2
45775,1862,8.750.223.832.621.190,60,16665,3
55693,11844,6.533.671.843.526.060,18,5824,2
29529,30260,7.184.724.660.717.890,52,14671,1
66470,16635,8.096.420.041.756.260,57,6286,3
71543,17305,7.618.464.675.467.860,62,16756,2
49622,18058,9.794.914.814.333.010,24,11348,3
16405,20110,8.170.551.946.947.240,52,20933,1
37113,16652,8.987.481.960.879.910,69,14096,3
54740,38166,6.322.570.059.187.280,51,11149,2
55582,2966,6.715.521.540.498.190,67,20999,2
46133,22289,78.240.841.263.944,22,10640,2
66509,25561,8.713.421.260.955.620,46,19473,3
41356,11051,7.229.580.366.669.780,67,17337,2
64761,26456,8.862.775.838.724.150,65,13172,3
50015,13321,9.848.350.455.425.240,44,8320,3
41508,24798,7.711.367.780.312.010,24,21208,2
60973,7381,8.488.536.140.922.520,18,17502,3
49341,20874,8.225.839.433.638.820,26,11140,3
63312,42297,8.076.068.524.318.850,64,16223,3
93595,10949,8.818.358.560.963.340,18,20030,3
35990,15845,8.508.752.268.311.110,44,15560,3
63211,36497,8.317.525.214.633.240,34,16191,3
59569,32364,8.641.444.031.369.520,49,20160,3
76689,37485,9.362.794.548.376.140,58,22686,3
63712,16307,9.103.760.144.064.640,47,14402,3
73594,23469,6.745.006.725.833.950,32,8312,2
35243,24611,7.614.128.557.684.280,59,8487,2
30866,12230,9.084.368.868.890.630,45,11545,3
35890,8823,1.0,69,10325,3
47647,7591,7.845.077.220.945.140,20,6587,2
70737,14985,7.001.620.471.977.660,45,24239,2
74086,7221,1.0,22,17640,3
44527,13230,9.766.736.200.711.610,19,12381,3
48316,9941,9.701.056.276.172.440,55,14837,3
32420,25121,8.610.176.638.781.830,33,6068,3
51091,23950,8.449.191.762.578.390,61,20786,3
47026,14285,835.755.158.983.756,34,5251,3
47070,16583,9.260.789.355.976.410,29,17550,3
67710,25955,9.752.256.518.282.380,43,5807,3
56072,16450,8.663.101.292.804.130,66,12929,3
30388,14046,927.504.011.179.047,24,21213,2
11746,6707,9.892.036.804.090.220,41,6830,2
58279,33053,943.834.501.460.493,33,14256,3
53485,3789,908.250.721.109.213,35,18138,3
55664,16844,7.778.204.398.309.390,25,17320,2
53487,11146,78.494.114.807.577,44,15350,2
32831,21454,6.775.608.759.715.170,43,17478,2
47153,15526,8.885.717.325.378.340,48,11945,3
45415,20837,8.613.175.922.476.290,35,24663,2
48781,11593,9.772.790.546.211.780,19,6946,3
63175,15463,8.956.660.049.908.810,58,20810,3
41339,6527,8.176.106.618.221.780,40,15947,3
32660,9917,8.015.244.173.318.960,65,18085,2
70099,15368,8.845.459.029.124.550,66,18972,3
39046,21642,8.752.403.722.967.870,59,17778,3
67286,18530,1.0,39,10944,3
82271,33636,839.132.926.805.422,50,13568,3
72606,4866,8.986.573.291.545.840,35,7742,3
59967,17384,1.0,32,13507,3
47027,2729,835.360.624.104.198,58,16612,3
63696,18337,8.169.413.098.977.480,20,18035,3
49656,13291,7.166.095.243.722.820,65,16957,2
71231,14839,813.963.755.157.235,40,6224,3
59578,13181,8.877.864.313.141.120,64,12189,3
55674,24349,9.874.158.406.871.610,19,11688,3
50738,22799,712.572.031.874.499,59,8449,2
42587,7940,7.602.463.550.592.790,21,10820,2
49966,17744,6.615.680.564.796.180,43,15006,2
54392,4792,1.0,36,22068,3
46145,2922,8.661.131.088.327.210,66,10234,3
54470,24006,8.066.652.890.249.840,27,9355,3
64784,8627,6.703.353.525.356.840,39,12002,2
54163,13860,8.498.047.833.385.110,23,16687,3
41983,22192,8.096.018.177.003.070,18,21118,2
8665,19823,6.706.761.427.516.170,60,14567,1
68206,34038,8.212.208.325.347.700,33,7770,3
48341,7430,9.725.199.405.583.450,69,8834,3
53006,32195,8.239.677.058.144.930,24,15941,3
58174,25784,9.676.529.969.395.210,41,19976,3
58178,27599,1.0,52,24078,3
61366,16083,8.231.599.262.367.420,31,9087,3
65132,10480,8.410.627.829.062.540,21,15698,3
61333,20951,9.001.463.514.397.020,58,9850,3
3244,10433,9.522.648.263.320.470,32,10506,1
55894,10113,9.922.435.980.532.600,61,10083,3
53824,21505,1.0,65,13328,3
46207,30521,7.766.447.687.452.360,40,10588,2
57192,3961,9.954.664.714.278.840,36,27394,3
50303,33069,9.014.573.527.782.600,31,12701,3
41480,7583,7.978.128.991.120.680,44,19938,2
68551,16934,735.581.159.987.458,53,11702,2
55216,17091,770.155.917.489.111,55,26166,2
52587,15158,8.864.370.543.058.620,39,16695,3
18746,17630,8.008.620.392.595.700,28,19184,1
81929,21342,8.862.472.087.129.120,21,12044,3
22035,32724,7.372.951.787.488.630,49,19882,1
57863,17979,7.746.208.575.220.250,57,16674,2
60694,10874,8.410.099.088.239.140,58,13105,3
74666,9310,8.327.909.418.568.770,41,9600,3
35575,23191,7.223.009.157.668.640,51,13812,2
37868,28173,7.870.951.757.279.460,69,13384,2
62005,13510,6.756.031.829.118.470,20,19345,2
59763,29165,8.566.314.303.792.120,55,13838,3
75526,41686,1.0,19,5392,3
66311,33194,7.733.888.488.125.710,40,18230,2
44923,12755,7.546.609.702.819.110,57,21465,2
48334,30312,9.482.619.657.761.390,37,6669,3
57845,29249,7.329.275.371.829.060,25,24023,2
27073,20631,9.505.532.636.077.290,52,21983,2
58416,28972,7.298.055.414.023.630,66,11845,2
59501,27607,8.144.514.665.465.770,60,9414,3
37849,32473,8.258.867.795.240.660,20,20264,1
46805,25788,9.204.404.036.884.240,49,8151,3
20269,27548,1.0,48,11658,1
63933,9796,8.153.584.909.146.510,61,8424,3
56269,19978,8.481.448.561.963.510,63,15029,3
30401,12501,6.790.279.453.743.680,48,22325,2
34099,31954,845.917.584.000.946,18,16874,1
43481,6419,9.654.785.262.224.200,29,20090,3
62739,1884,1.0,35,13240,3
57568,5841,81.406.470.690.587,41,15486,3
37666,17722,9.216.809.282.373.120,53,8867,3
41100,235,9.657.505.179.130.490,46,14515,3
50788,1070,7.061.660.391.291.000,42,11270,2
37989,26649,9.918.590.408.175.950,40,14198,3
42193,6069,7.693.012.922.248.110,20,13854,2
60378,30049,8.764.584.376.687.440,47,13427,3
31597,6780,7.237.111.555.167.940,34,25537,2
47864,1367,8.133.503.997.121.450,62,23837,3
46748,9712,6.811.854.303.385.690,66,22080,2
49357,7118,8.766.521.150.728.790,47,23975,3
53963,7067,1.0,66,22096,3
59218,18904,8.532.845.545.660.550,36,14888,3
61763,21702,7.057.981.838.087.990,22,14375,2
44840,33821,8.161.594.621.468.560,57,16177,3
47728,16373,8.713.618.002.351.440,51,13946,3
55264,22865,8.354.337.345.534.920,26,9799,3
52702,6707,9.178.750.306.150.970,56,16483,3
58560,10922,1.0,65,7169,3
56745,33002,8.441.149.834.335.140,61,15688,3
37641,34046,8.369.751.478.765.130,43,10026,1
78116,35874,7.778.828.397.178.520,22,14594,2
50055,18742,9.530.124.384.314.290,41,15956,3
60495,6756,1.0,48,13235,3
59158,12187,8.310.162.667.884.480,41,6797,3
54078,16721,8.754.632.266.363.170,38,9059,3
53935,14348,8.662.635.239.773.510,39,17291,3
63909,21133,773.175.900.511.688,55,12212,2
46875,27512,9.232.623.608.123.940,39,17804,3
61634,9709,845.948.854.334.518,38,15048,3
57536,39174,8.727.049.029.155.790,47,14010,3
67636,20744,9.465.835.666.290.010,66,16738,3
42553,33578,8.173.285.244.568.120,64,11625,3
51264,24234,8.593.783.820.819.980,27,17001,3
37171,41561,7.774.580.186.750.580,20,12902,1
66646,8368,7.408.307.549.062.650,56,27681,2
38911,14862,8.621.331.529.255.000,46,9330,3
54980,14895,8.707.709.884.740.850,42,13213,3
43194,21828,9.423.119.854.260.210,19,13415,3
67117,21257,7.736.701.163.286.280,30,8240,2
49122,23888,7.450.144.631.816.090,44,18629,2
59767,21399,1.0,46,12856,3
33742,25573,863.118.727.499.932,31,3101,3
40531,15161,7.122.910.959.101.990,21,18475,2
59105,24675,8.444.577.733.033.440,25,11819,3
69364,48150,7.843.135.907.554.460,22,14475,2
57891,20045,8.858.230.949.181.450,61,18384,3
85744,5557,8.082.641.001.517.000,44,13176,3
61872,13728,9.736.916.331.849.360,41,13135,3
50240,15404,7.200.012.785.120.650,61,27323,2
45185,11141,9.778.312.975.372.620,60,4231,3
77256,21222,9.243.108.260.481.500,51,8570,3
62111,27990,8.822.826.729.904.090,45,9539,3
42268,6998,9.534.461.145.494.370,41,23945,2
40116,3056,971.548.407.834.756,22,11776,3
40043,44739,8.501.342.218.433.340,30,16201,1
57668,10623,1.0,35,12629,3
27227,34134,9.117.839.953.463.020,34,18016,1
42335,27611,7.952.290.692.901.630,47,14936,2
54462,13964,715.332.063.007.309,55,16265,2
50414,12121,9.574.006.808.695.120,36,21436,3
43175,13954,8.499.431.921.338.060,39,17201,3
60422,15580,6.708.483.909.523.510,66,11324,2
60345,26192,8.833.474.439.386.670,66,16560,3
46753,6072,8.241.945.895.337.210,35,27093,2
42028,32818,7.829.689.704.027.270,43,17824,2
62968,13608,9.509.122.255.536.960,32,15759,3
47619,5367,7.712.282.493.457.280,45,8147,2
50210,21850,8.046.622.172.131.100,47,18622,3
61742,44035,8.284.241.243.220.630,45,19361,3
33499,11603,9.516.821.043.797.620,37,16563,3
42226,21288,7.325.515.070.455.820,21,15570,2
46086,21414,7.867.281.031.148.640,21,29162,2
78607,38853,8.925.184.630.944.530,54,19277,3
31210,10613,8.996.033.502.248.240,32,21200,2
50596,29362,7.373.877.660.944.480,51,15334,2
36701,5766,8.106.031.840.781.050,28,14342,3
84638,22223,8.382.679.590.564.100,40,18160,3
54002,27368,8.787.973.529.876.350,52,14337,3
35703,30039,8.290.262.745.942.820,60,14747,1
25310,6317,1.0,52,17316,2
59180,129,8.401.454.786.105.530,28,12435,3
52896,18025,1.0,19,16102,3
59535,14301,8.035.060.414.154.610,69,15400,3
34901,5805,6.899.202.038.544.540,69,19835,2
78024,6943,1.0,32,11943,3
51228,15219,8.413.155.615.335.540,57,5000,3
56366,37091,8.869.625.679.156.720,45,13446,3
59358,7682,7.049.845.563.665.600,48,16986,2
51540,28914,8.761.936.913.722.950,49,19820,3
69583,5287,9.321.568.695.211.550,51,11535,3
42050,12463,7.354.378.718.437.180,67,17710,2
65334,4677,835.740.052.573.386,39,20675,3
69997,41727,8.439.458.857.785.380,46,18756,3
65549,29564,7.218.934.893.727.100,25,11046,2
71515,27013,1.0,39,11583,3
39044,26503,5.823.976.738.819.770,29,17175,1
57449,11926,6.361.402.673.382.010,40,23126,2
56261,20355,8.606.315.088.923.250,55,15070,3
51123,9546,7.505.106.442.131.110,19,14173,2
59403,46941,9.177.105.597.948.880,29,8151,3
68105,8753,8.154.362.448.535.540,38,13178,3
39164,11394,8.898.483.404.132.650,29,11423,3
31893,36036,7.132.956.528.592.620,62,15135,1
46924,18952,810.247.890.821.244,48,7435,3
12732,26039,8.057.478.105.228.590,26,13357,1
48959,19184,1.0,32,9955,3
71444,13106,804.705.158.078.475,49,19701,3
28648,13115,6.210.604.947.774.970,60,10704,2
43734,28626,9.601.119.978.797.710,26,12138,3
32949,22273,8.255.821.710.852.190,41,16410,3
55950,32030,8.769.463.129.928.940,25,12731,3
59552,31903,8.154.663.229.374.210,69,26797,3
50321,25769,7.223.755.448.465.810,45,19652,2
39727,30476,9.806.955.619.100.710,35,15086,3
52854,25371,7.522.048.886.845.980,60,16840,2
68558,23804,7.017.654.513.060.740,54,3222,2
